# Variant ID	Location	Variant type	Gene	Molecular consequences	Most 
rs761448939	943995	single nucleotide variant	NOC2L and 5 more	,missense variant,nonsense (stop gained),500B downstream variant,	pathogenic				
rs1261358932	75745912	single nucleotide variant	ACADM and 5 more	,missense variant,nonsense (stop gained),2KB upstream variant,	pathogenic				
rs1462279583	75749437	single nucleotide variant	ACADM and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs121434276	75749440	single nucleotide variant	ACADM and 1 more	,missense variant	pathogenic				1684086
rs875989867	75749452	single nucleotide variant	ACADM and 1 more	,missense variant	pathogenic				25741868
rs201375579	75749507	single nucleotide variant	ACADM and 2 more	,missense variant	pathogenic			G=0.000437229	25741868
rs121434274	75749509	single nucleotide variant	ACADM and 3 more	,missense variant,nonsense (stop gained)	pathogenic			A=0.0002145	1684086,23028790,25741868
rs757004090	75749545	single nucleotide variant	ACADM and 2 more	,missense variant,nonsense (stop gained)	pathogenic			G=1.65131e-05	
rs121434282	75749552	single nucleotide variant	ACADM and 1 more	,missense variant	pathogenic				11486912
rs878853106	75749560	single nucleotide variant	ACADM and 1 more	splice donor variant	pathogenic				25741868
rs1057520215	75750467	single nucleotide variant	ACADM and 2 more	,missense variant	pathogenic				
rs2525652858	75750502	single nucleotide variant	ACADM and 1 more	,nonsense (stop gained)	pathogenic				
rs758753966	75761120	single nucleotide variant	ACADM and 1 more	splice acceptor variant	pathogenic			C=1.69831e-05	
rs1057516564	75761125	single nucleotide variant	ACADM and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs786204631	75761153	single nucleotide variant	ACADM and 1 more	,missense variant	pathogenic				8198141,8535441,9158144,18767270,23028790
rs77931234	75761161	single nucleotide variant	ACADM and 2 more	,missense variant	pathogenic	G=0.000998403		G=0.00331749	1361190,1447668,1570195,1601002,1671131,1678810,1679031,1684086,1756601,1902818,1972503,2046713,2251268,2393404,2394825,3786030,7652482,7720752,7730333,7904584,8104486,8682492,8770876,11263545,11346377,11349232,11486912,15832312,18241067,19224950,19780764,20036593,20301597,20333879,21228398,22975760,23028790,23509891,23574375,23757202,23820649,23842438,24033266,24082139,24623196,24718418,24799540,24966162,24998633,25087612,25333063,25741868,25763512,26215884,26831755,29545352
rs2100452915	75761187	single nucleotide variant	ACADM and 1 more	,nonsense (stop gained)	pathogenic				
rs796051896	75761188	single nucleotide variant	ACADM and 2 more	,missense variant,nonsense (stop gained)	pathogenic				25741868
rs771978135	75761210	single nucleotide variant	ACADM and 1 more	,missense variant	pathogenic			T=8.23778e-06	
rs148207467	75761221	single nucleotide variant	ACADM and 3 more	,missense variant,nonsense (stop gained),synonymous variant	pathogenic	T=0.000199681		T=1.64734e-05	8198141,23829193,25741868
rs760335676	75761222	single nucleotide variant	ACADM and 2 more	,missense variant	pathogenic			A=8.23669e-06	
rs1227800781	75761231	single nucleotide variant	ACADM and 1 more	,missense variant	pathogenic				
rs2100453278	75761243	single nucleotide variant	ACADM and 1 more	,missense variant	pathogenic				
rs150310121	75761261	single nucleotide variant	ACADM and 2 more	,missense variant	pathogenic	A=0.000199681		A=2.47117e-05	
rs2525699415	75761293	single nucleotide variant	ACADM and 2 more	,missense variant	pathogenic				
rs2100453612	75761296	single nucleotide variant	ACADM and 1 more	,nonsense (stop gained)	pathogenic				
rs2100453846	75761351	single nucleotide variant	ACADM and 1 more	,missense variant	pathogenic				
rs1553127216	75761366	single nucleotide variant	ACADM and 2 more	,missense variant	pathogenic				
rs769331400	75761371	single nucleotide variant	ACADM and 1 more	splice donor variant	pathogenic			A=1.66331e-05	
rs139686925	75762734	single nucleotide variant	ACADM and 2 more	,missense variant	pathogenic	T=0.000199681			
rs753928772	75762754	single nucleotide variant	ACADM and 2 more	,nonsense (stop gained),synonymous variant	pathogenic			A=1.77832e-05	
rs2100570734	75879003	single nucleotide variant	MSH4 and 1 more	,nonsense (stop gained)	pathogenic				
rs149910287	75883664	single nucleotide variant	MSH4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs149042353	75889341	single nucleotide variant	MSH4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			A=4.15476e-05	
rs377712900	75890730	single nucleotide variant	MSH4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			T=6.3815e-05	
rs774501542	75890825	single nucleotide variant	MSH4 and 3 more	splice donor variant	pathogenic			T=8.34948e-06	
rs771456188	75912804	single nucleotide variant	MSH4 and 1 more	,nonsense (stop gained)	pathogenic			T=1.72756e-05	
rs1654968072	77154612	single nucleotide variant	PIGK and 1 more	,missense variant	pathogenic				
rs747692385	77161686	single nucleotide variant	PIGK and 1 more	,missense variant	pathogenic			G=8.25055e-06	
rs1164656857	77166727	single nucleotide variant	PIGK and 1 more	,missense variant	pathogenic			G=9.08397e-06	
rs772948495	77169375	single nucleotide variant	PIGK and 1 more	,missense variant	pathogenic			A=8.24838e-06	
rs1656295216	77206721	single nucleotide variant	PIGK and 1 more	,missense variant	pathogenic				
rs1656391998	77210486	single nucleotide variant	PIGK and 1 more	,nonsense (stop gained)	pathogenic				
rs1656392054	77210490	single nucleotide variant	PIGK and 1 more	splice acceptor variant	pathogenic				
rs999958582	77917739	single nucleotide variant	NEXN and 2 more	,missense variant,nonsense (stop gained),intron variant	pathogenic				
rs1361285566	77918038	single nucleotide variant	NEXN and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs387907079	77918217	single nucleotide variant	NEXN and 2 more	,missense variant,nonsense (stop gained)	pathogenic			G=8.28171e-06	20970104
rs771262904	77926827	single nucleotide variant	NEXN and 1 more	,nonsense (stop gained),intron variant	pathogenic			T=8.3492e-06	
rs533331740	77929442	single nucleotide variant	NEXN and 2 more	,missense variant,nonsense (stop gained)	pathogenic	T=0.000199681		T=1.668e-05	
rs779386334	77933312	single nucleotide variant	NEXN and 2 more	,missense variant,nonsense (stop gained)	pathogenic			C=9.16204e-06	
rs1571150562	77933351	single nucleotide variant	NEXN and 1 more	,nonsense (stop gained)	pathogenic				
rs1557988499	77933456	single nucleotide variant	NEXN and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs2523301351	77942050	single nucleotide variant	NEXN and 1 more	,nonsense (stop gained)	pathogenic				
rs137853198	77942632	single nucleotide variant	NEXN and 2 more	,missense variant	pathogenic				19881492
rs137853197	77942756	single nucleotide variant	NEXN and 1 more	,missense variant	pathogenic			G=0.000100103	19881492,20970104,24033266
rs1660297324	78005184	single nucleotide variant	DNAJB4 and 2 more	,missense variant,intron variant	pathogenic				
rs1353267621	78005291	single nucleotide variant	DNAJB4 and 2 more	,missense variant,intron variant,synonymous variant	pathogenic				
rs2524295993	78016018	single nucleotide variant	DNAJB4 and 1 more	,missense variant,synonymous variant	pathogenic				
rs2524296398	78016089	single nucleotide variant	DNAJB4 and 1 more	,nonsense (stop gained),3 prime UTR variant	pathogenic				
rs1663748771	84182252	single nucleotide variant	PRKACB and 1 more	,missense variant,nc transcript variant,5 prime UTR variant	pathogenic				
rs748898273	84184061	single nucleotide variant	PRKACB and 2 more	,missense variant,nc transcript variant,intron variant	pathogenic			T=1.66284e-05	
rs768056300	84184062	single nucleotide variant	PRKACB and 2 more	,missense variant,nc transcript variant,intron variant	pathogenic			G=8.3138e-06	
rs1670492319	84202743	single nucleotide variant	PRKACB and 1 more	,missense variant,nc transcript variant	pathogenic				
rs370432633	85267841	single nucleotide variant	BCL10 and 1 more	,missense variant	pathogenic			A=2.47133e-05	10582682
rs1660349948	85270747	single nucleotide variant	BCL10 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs121918314	85270792	single nucleotide variant	BCL10 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				9989495,10380920,10408400
rs606231305	85276295	single nucleotide variant	BCL10 and 3 more	splice donor variant,5 prime UTR variant,2KB upstream variant,,	pathogenic				25365219
rs758990524	87092574	single nucleotide variant	HS2ST1 and 1 more	,missense variant	pathogenic			T=8.29614e-06	
rs1651972168	87092608	single nucleotide variant	HS2ST1 and 1 more	,missense variant	pathogenic				
rs1651973144	87092648	single nucleotide variant	HS2ST1 and 1 more	,missense variant	pathogenic				
rs587776903	90916206	single nucleotide variant	ZNF644 and 1 more	3 prime UTR variant	pathogenic				21695231
rs387907109	90939340	single nucleotide variant	ZNF644 and 1 more	,missense variant,intron variant	pathogenic				21695231
rs146936371	90939595	single nucleotide variant	ZNF644 and 2 more	,missense variant,intron variant	pathogenic			C=8.24402e-06	21695231
rs746229304	91276627	single nucleotide variant	HFM1 and 1 more	splice donor variant,	pathogenic			T=3.03711e-05	
rs1179064123	91276726	single nucleotide variant	HFM1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,	pathogenic				
rs587777268	91319322	single nucleotide variant	HFM1 and 1 more	,missense variant,nc transcript variant,3 prime UTR variant,intron variant,	pathogenic			C=8.24565e-06	24597873
rs587777269	91350738	single nucleotide variant	HFM1 and 1 more	,missense variant,intron variant	pathogenic				24597873
rs2101730664	91351645	single nucleotide variant	HFM1 and 1 more	splice acceptor variant,intron variant	pathogenic				
rs751622198	91352578	single nucleotide variant	HFM1 and 2 more	,nonsense (stop gained),nc transcript variant,synonymous variant	pathogenic			G=8.33347e-06	
rs730880018	91353299	single nucleotide variant	HFM1 and 3 more	,missense variant,nc transcript variant,synonymous variant	pathogenic				24597873
rs753422559	91375651	single nucleotide variant	HFM1 and 1 more	,missense variant,nc transcript variant,,	pathogenic			G=8.29119e-06	
rs748343941	91378065	single nucleotide variant	HFM1 and 2 more	,missense variant,nc transcript variant,	pathogenic			T=8.31352e-06	
rs754258809	92014213	single nucleotide variant	BRDT and 1 more	,missense variant	pathogenic			A=8.61653e-06	
rs2526281838	92074764	single nucleotide variant	SETSIP and 1 more	,synonymous variant	pathogenic				
rs1557497881	92247100	single nucleotide variant	GLMN and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,	pathogenic				
rs1444604286	92263713	single nucleotide variant	GLMN and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs1064794247	92266425	single nucleotide variant	GLMN and 1 more	,nonsense (stop gained),nc transcript variant,intron variant	pathogenic				
rs909548615	92271547	single nucleotide variant	GLMN and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs2524154110	92289152	single nucleotide variant	GLMN and 2 more	splice acceptor variant,,	pathogenic				
rs770780171	92297461	single nucleotide variant	GLMN and 3 more	,nonsense (stop gained),nc transcript variant,intron variant,2KB upstream variant,,	pathogenic			T=8.25232e-06	
rs1057520767	92297959	single nucleotide variant	GLMN and 3 more	splice donor variant,2KB upstream variant,,	pathogenic				
rs28936382	92476090	single nucleotide variant	GFI1 and 1 more	,missense variant	pathogenic			C=2.54444e-05	11807637,12778173
rs28936381	92476153	single nucleotide variant	GFI1 and 2 more	,missense variant	pathogenic				12778173
rs2100672432	92832115	single nucleotide variant	RPL5 and 2 more	,missense variant,nc transcript variant	pathogenic				
rs2524440255	92832116	single nucleotide variant	RPL5 and 1 more	,missense variant,nc transcript variant	pathogenic				
rs138710531	92832117	single nucleotide variant	RPL5 and 1 more	,missense variant,nc transcript variant	pathogenic				
rs2524447634	92833407	single nucleotide variant	RPL5 and 3 more	,nonsense (stop gained),nc transcript variant,intron variant,	pathogenic				
rs148673599	92833433	single nucleotide variant	RPL5 and 7 more	,nonsense (stop gained),nc transcript variant,intron variant,synonymous variant,	pathogenic				
rs121434405	92833452	single nucleotide variant	RPL5 and 5 more	,nonsense (stop gained),nc transcript variant,intron variant,synonymous variant,	pathogenic				19061985
rs1558283853	92833455	single nucleotide variant	RPL5 and 3 more	,nonsense (stop gained),nc transcript variant,intron variant,	pathogenic				
rs2524447810	92833457	single nucleotide variant	RPL5 and 3 more	,nc transcript variant,intron variant,synonymous variant,	pathogenic				
rs142156224	92833460	single nucleotide variant	RPL5 and 3 more	splice donor variant,intron variant,	pathogenic				
rs1553284997	92833544	single nucleotide variant	RPL5 and 5 more	splice acceptor variant,intron variant,	pathogenic				
rs1060503527	92833603	single nucleotide variant	RPL5 and 5 more	,nonsense (stop gained),nc transcript variant,intron variant,synonymous variant,	pathogenic				
rs1558284062	92833658	single nucleotide variant	RPL5 and 3 more	,nonsense (stop gained),nc transcript variant,intron variant,	pathogenic				
rs587777117	92834833	single nucleotide variant	RPL5 and 5 more	,missense variant,nonsense (stop gained),nc transcript variant,intron variant,	pathogenic				23718193
rs2524457676	92836250	single nucleotide variant	SNORD21 and 5 more	,nonsense (stop gained),nc transcript variant,intron variant,2KB upstream variant,,	pathogenic				
rs1190811369	92836277	single nucleotide variant	SNORD21 and 8 more	,missense variant,nonsense (stop gained),nc transcript variant,intron variant,2KB upstream variant,,	pathogenic				
rs2100685111	92836393	single nucleotide variant	SNORD21 and 5 more	splice donor variant,intron variant,2KB upstream variant,,	pathogenic				
rs1057520746	92837463	single nucleotide variant	SNORD21 and 5 more	,nonsense (stop gained),nc transcript variant,intron variant,500B downstream variant,,	pathogenic				
rs1481353859	92837585	single nucleotide variant	SNORD21 and 8 more	,nonsense (stop gained),nc transcript variant,intron variant,500B downstream variant,synonymous variant,,	pathogenic				
rs587777118	92837592	single nucleotide variant	SNORD21 and 5 more	,nonsense (stop gained),nc transcript variant,intron variant,500B downstream variant,,	pathogenic				23718193
rs2524473865	92840587	single nucleotide variant	RPL5 and 5 more	,nonsense (stop gained),nc transcript variant,intron variant,2KB upstream variant,,	pathogenic				
rs1658918693	93993244	single nucleotide variant	ABCA4 and 2 more	splice acceptor variant	pathogenic				
rs112005636	93996107	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				
rs773599043	93996108	single nucleotide variant	ABCA4 and 3 more	splice donor variant	pathogenic			A=8.26774e-06	
rs1659051255	93997868	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61750659	93997904	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			G=6.59598e-05	
rs61753046	93997932	single nucleotide variant	ABCA4 and 3 more	,missense variant,nonsense (stop gained)	pathogenic	A=0.000199681			10958761,22968130,23134348,25525159,28118664
rs886044763	93997943	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic				10958763,28118664
rs61753045	93997981	single nucleotide variant	ABCA4 and 3 more	,nonsense (stop gained),synonymous variant	pathogenic				10958763,25525159,28118664
rs2100988221	93998022	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs61750658	93998027	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic	G=0.000199681		G=1.64772e-05	
rs2100988422	93998111	single nucleotide variant	ABCA4 and 1 more	splice acceptor variant	pathogenic				
rs2100993531	94000832	single nucleotide variant	ABCA4 and 1 more	intron variant	pathogenic				
rs1436211151	94000835	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				
rs1571241930	94000837	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61751384	94000866	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			T=2.47121e-05	10206579,15579991,19074458,22264887,24743636,25283059,28118664
rs61750654	94000870	single nucleotide variant	ABCA4 and 3 more	,missense variant,nonsense (stop gained),synonymous variant	pathogenic			A=1.64745e-05	25741868,26103963,26957898
rs761867791	94000899	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			T=0.000205921	
rs61750653	94000900	single nucleotide variant	ABCA4 and 3 more	,missense variant,synonymous variant	pathogenic				
rs1659154730	94000905	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs2523624176	94000918	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61750652	94000924	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs2100993760	94000926	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61753043	94001000	single nucleotide variant	ABCA4 and 1 more	splice donor variant	pathogenic				14517951,28118664
rs745654673	94001001	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic			T=8.23764e-06	
rs1571242070	94001002	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61750651	94001005	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			C=8.23791e-06	
rs1303289867	94001008	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61748520	94001046	single nucleotide variant	ABCA4 and 2 more	,synonymous variant	pathogenic			T=8.24035e-06	21911583,23918662
rs62642565	94001059	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs886044761	94001062	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				28118664
rs62642564	94001068	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic	T=0.00459265		T=0.00187216	9781034,22025579,22264887,22995991,25283059,28118664
rs2297669	94001069	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			A=1.64957e-05	
rs61750648	94001072	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic	A=0.000199681		A=0.000115491	9054934,25283059,28118664
rs2523624919	94001078	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs2100994049	94001080	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs568627877	94001082	single nucleotide variant	ABCA4 and 2 more	,missense variant,synonymous variant	pathogenic	T=0.000199681			
rs747046963	94001098	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			C=8.27404e-06	
rs1166357291	94001099	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs2523625058	94001101	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs1410550128	94001106	single nucleotide variant	ABCA4 and 2 more	splice acceptor variant	pathogenic				
rs1250914690	94001890	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs886044759	94001910	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				23755871,28118664
rs61750645	94001911	single nucleotide variant	ABCA4 and 3 more	,missense variant,synonymous variant	pathogenic				9054934,17982420,19217903,20647261,24713488,28118664
rs367839100	94001919	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs1659196542	94001920	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs1362964563	94001949	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic				
rs61753040	94001950	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			T=3.29538e-05	
rs61753039	94001961	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs61750644	94001974	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs41292677	94001992	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic	G=0.00279553		G=0.00275237	9054934,10880298,16103129,20335603,23757202,23940504,28118664
rs1659351072	94005439	single nucleotide variant	ABCA4 and 3 more	splice donor variant	pathogenic				
rs1462350577	94005466	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs2101000357	94005467	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61753038	94005470	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			A=1.64753e-05	
rs767729255	94005475	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic			T=1.64747e-05	
rs61750643	94005476	single nucleotide variant	ABCA4 and 3 more	,missense variant,synonymous variant	pathogenic			A=2.47117e-05	9054934,12962493,28118664
rs1553186896	94005490	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic				
rs1242866408	94005493	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs183398940	94005494	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic	A=0.000199681		T=8.23696e-06	
rs61750641	94005499	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic	T=0.000599042		T=0.000387137	9973280,11328725,11379881,16303974,18854780,23143460,24265693,24713488,25283059,25393022,26103963,28118664,28838317
rs61751383	94005500	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			A=2.47113e-05	11385708,16546111
rs1659354254	94005502	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61751408	94005509	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic	A=0.000199681		A=0.000214161	9054934,9490294,10880298,11123914,12796258,19074458,23695285,24713488,28118664
rs2101000542	94005539	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs1453899480	94007632	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				
rs61748517	94007633	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				
rs1259778135	94007688	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61753037	94007703	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				14517951,28118664
rs1064793014	94007707	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61750639	94007710	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic			T=8.30413e-06	
rs61753036	94007716	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61753035	94007725	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61753034	94007727	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				9781034
rs28938473	94007731	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic	A=0.00239617		A=0.00292514	9295268,9781034,22264887,23953153,25087612,28118664
rs1553187160	94007741	single nucleotide variant	ABCA4 and 2 more	splice acceptor variant	pathogenic				
rs2101004096	94008233	single nucleotide variant	ABCA4 and 1 more	splice donor variant	pathogenic				
rs61750638	94008234	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				
rs1800553	94008251	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic	T=0.00319489		T=0.0050535	9054934,9295268,9973280,11017087,16103129,18285826,19074458,19217903,20696155,21045241,21609220,22025579,22264887,22312191,22427542,22661473,23713713,23757202,23769331,24033266,24265693,24675670,25082885,25087612,25097241,25326637,25393022,25640233,25712131,25741868,25921964,26527198,26593885,27239555,27535533,28118664,30409984,31635417,35046417
rs1659453002	94008299	single nucleotide variant	ABCA4 and 1 more	splice acceptor variant	pathogenic				
rs1064793013	94008300	single nucleotide variant	ABCA4 and 2 more	intron variant	pathogenic				
rs1475966997	94008750	single nucleotide variant	ABCA4 and 1 more	splice donor variant	pathogenic				
rs886044755	94008758	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				28118664
rs760353830	94008762	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			G=1.64731e-05	
rs61753033	94008767	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			G=8.23655e-06	11385708,16546111,18285826
rs1208195953	94008812	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61751407	94010795	single nucleotide variant	ABCA4 and 3 more	intron variant	pathogenic			T=0.000347763	9466990,9666097,9973280,10413692,10958763,11702214,19074458,24265693,25393022,26872967,28118664
rs1232476760	94010799	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				
rs2101007411	94010804	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs1800552	94010821	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic	T=0.000399361		T=0.00178427	9295268,11017087,15579991,22449572,23953153,25087612,28118664
rs771092150	94010823	single nucleotide variant	ABCA4 and 2 more	,missense variant,synonymous variant	pathogenic			T=8.25818e-06	
rs752160946	94010868	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic				
rs369973540	94010872	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic			A=5.76872e-05	
rs748184137	94010898	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic			T=8.24008e-06	
rs2101007643	94010899	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs61750633	94011256	single nucleotide variant	ABCA4 and 1 more	intron variant	pathogenic				
rs1659538637	94011262	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs200849015	94011268	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs371489809	94011274	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic			T=1.65207e-05	
rs531109296	94011292	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic	C=0.000199681			
rs61750575	94011309	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			G=2.47553e-05	
rs2101008373	94011316	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs62642576	94011319	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs886044752	94011333	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				28118664
rs62642562	94011334	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic				15192030,23755871,28118664
rs1321639616	94011337	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs2523657983	94011360	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs2101008577	94011386	single nucleotide variant	ABCA4 and 1 more	splice acceptor variant	pathogenic				
rs1800728	94011395	single nucleotide variant	ABCA4 and 3 more	intron variant	pathogenic			G=0.000223085	10958763,15614537,18285826,19074458,20696155,22264887,22328824,23591405,23695285,23757202,24713488,25082885,25097241,25525159,26261413,26872967,28118664
rs2523668348	94014541	single nucleotide variant	ABCA4 and 1 more	splice donor variant	pathogenic				
rs61753030	94014542	single nucleotide variant	ABCA4 and 3 more	splice donor variant	pathogenic			G=8.23696e-06	
rs1659671020	94014586	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61753029	94014590	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			C=1.64731e-05	
rs61750574	94014608	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61751406	94014622	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			T=2.47101e-05	28118664
rs1571252997	94014623	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs1659672730	94014637	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs746252741	94014652	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			C=8.23655e-06	
rs61750573	94014666	single nucleotide variant	ABCA4 and 3 more	,nonsense (stop gained),synonymous variant	pathogenic	C=0.000199681			
rs748706582	94014670	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic			G=1.64731e-05	
rs768206358	94014671	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			A=1.64731e-05	
rs375184282	94014674	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			A=7.4129e-05	
rs1553187939	94014676	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs771742619	94014679	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			T=8.23655e-06	
rs760549861	94014685	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			A=0.000115314	18652558,23591405,25283059,28118664
rs61750571	94014687	single nucleotide variant	ABCA4 and 3 more	,missense variant,nonsense (stop gained)	pathogenic			T=8.23669e-06	
rs767451031	94015736	single nucleotide variant	ABCA4 and 2 more	intron variant	pathogenic			C=9.10714e-06	
rs1307108997	94015737	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				
rs886044750	94015738	single nucleotide variant	ABCA4 and 1 more	splice donor variant	pathogenic				21911583,28118664
rs374015407	94015740	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs2101015376	94015741	single nucleotide variant	ABCA4 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
